Model_Name,Topology_Vect,Model_arch,LR,TopoDim_concat,TopoDim,Config_file,Augmentation,Augmentation_Type,Train_loss,Train_Acc,Val_Loss,Val_Acc
BC_TBR_0_2,bc,TBR,0.0001,False,0,config/TBR_bc.json,0.3,all,1.5249719385840677,"tensor(93.6255, device='cuda:0', dtype=torch.float64)",0.0,"tensor(84.9600, device='cuda:0', dtype=torch.float64)"
BC_TBR_0_2,bc,TBR,0.0001,False,0,config/TBR_bc.json,0.5,non-topo,1.5262031928722677,"tensor(93.5369, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.9500, device='cuda:0', dtype=torch.float64)"
BC_TBR_0_2,bc,TBR,0.0001,False,0,config/TBR_bc.json,0.3,non-topo,1.5249719385840677,"tensor(93.6255, device='cuda:0', dtype=torch.float64)",0.0,"tensor(84.9600, device='cuda:0', dtype=torch.float64)"
BC_TBR_2DIM_9,bc,TBR,0.0001,True,0,config/TBR_bc_2dim_small.json,0.3,all,1.502089294277538,"tensor(95.9364, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.9600, device='cuda:0', dtype=torch.float64)"
BC_TBR_2DIM_9,bc,TBR,0.0001,True,0,config/TBR_bc_2dim_small.json,0.5,non-topo,1.5133059289198656,"tensor(94.8554, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.1600, device='cuda:0', dtype=torch.float64)"
BC_TBR_0_2,bc,TBR,0.0001,False,0,config/TBR_bc.json,0.5,all,1.5067321105223437,"tensor(95.4723, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.3400, device='cuda:0', dtype=torch.float64)"
BC_TBR_10,bc,TBR,0.0001,False,1,config/TBR_bc_small.json,0.3,all,1.5240092073440552,"tensor(93.7709, device='cuda:0', dtype=torch.float64)",0.0,"tensor(84.6900, device='cuda:0', dtype=torch.float64)"
BC_TBR_2DIM_9,bc,TBR,0.0001,True,0,config/TBR_bc_2dim_small.json,0.3,non-topo,1.4879729728872126,"tensor(97.3636, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.6900, device='cuda:0', dtype=torch.float64)"
BC_TBR_15,bc,TBR,0.0001,False,1,config/TBR_bc_large.json,0.3,all,1.53874116897583,"tensor(92.2709, device='cuda:0', dtype=torch.float64)",0.0,"tensor(84.0400, device='cuda:0', dtype=torch.float64)"
BC_TBR_10,bc,TBR,0.0001,False,1,config/TBR_bc_small.json,0.5,non-topo,1.516658533507127,"tensor(94.5262, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.2400, device='cuda:0', dtype=torch.float64)"
